Name		mu_b		r_b		r_e		gamma		alpha		n
BH-1		16.29		137		9.717e3		-0.0043		1.44		4
BH-2		16.91		268		9.781e3		-0.0267		1.35		4
BH-3		17.24		392		9.418e3		0.0114		1.30		4
BH-4		17.42		472		9.569e3		0.0084		1.35		4
BH-5		17.50		499		8.916e3		-0.044		1.182		4
BH-6		17.70		597		8.914e3		-0.042		1.163		4		
NGC_0507	16.45		130		1.2882e4	0.09		5		3.2
NGC_0584	14.57		18		3.388e3		0.46		5		6.4
NGC_0741	17.52		338		1.3182e4	0.19		5		7.4
NGC_1600	18.0		667		1.60415e4	0.03		2.09		5.83
NGC_1700	13.64		18		4.365e3		0.27		5		8.9
NGC_2300	16.58		122		5.011e3		0.11		2		4.7
NGC_3379	15.66		51		2.454e3		0.19		2		4.0
NGC_3706	14.17		24		7.943e3		-0.02		10		6.3
NGC_4472	16.44		129		8.709e3		0		2		4.3
NGC_7785	14.94		11		4.168e3		0.16		10		5.3
